Source,CH1,CH2,CH3
Second,Volt,Volt,Volt
-0.12288000000,1.60000,16.00000,44.00000
-0.12286000000,2.40000,16.00000,46.00000
-0.12284000000,-33.60000,20.00000,44.00000
-0.12282000000,38.40000,20.00000,44.00000
-0.12280000000,3.20000,20.00000,40.00000
-0.12278000000,3.20000,24.00000,44.00000
-0.12275998750,4.00000,28.00000,44.00000
-0.12273998750,43.20000,24.00000,42.00000
-0.12272000000,-38.40000,32.00000,40.00000
-0.12269998750,0.00,32.00000,44.00000
-0.12267998750,4.00000,36.00000,40.00000
-0.12266000000,4.80000,36.00000,38.00000
-0.12263998750,46.40001,40.00000,38.00000
-0.12262000000,39.20000,44.00000,38.00000
-0.12260000000,4.80000,44.00000,34.00000
-0.12257998750,3.20000,44.00000,36.00000
-0.12256000000,2.40000,48.00000,34.00000
-0.12253998750,41.60000,52.00000,36.00000
-0.12251998750,-33.60000,52.00000,34.00000
-0.12250000000,2.40000,56.00000,36.00000
-0.12247998750,4.80000,56.00000,30.00000
-0.12245998750,3.20000,60.00000,32.00000
-0.12244000000,44.00000,60.00000,32.00000
-0.12241998750,40.00000,64.00000,32.00000
-0.12239998750,3.20000,68.00000,28.00000
-0.12238000000,3.20000,68.00000,30.00000
-0.12235998750,4.00000,72.00000,28.00000
-0.12233998750,40.80000,72.00000,30.00000
-0.12232000000,-36.00000,72.00000,28.00000
-0.12229998750,3.20000,72.00000,28.00000
-0.12228000000,2.40000,80.00000,24.00000
-0.12226000000,3.20000,80.00000,24.00000
-0.12223998750,40.80000,84.00000,24.00000
-0.12222000000,40.00000,84.00000,24.00000
-0.12220000000,2.40000,88.00000,20.00000
-0.12217998750,3.20000,88.00000,22.00000
-0.12216000000,4.80000,88.00000,22.00000
-0.12213998750,41.60000,92.00000,22.00000
-0.12211998750,3.20000,100.00000,22.00000
-0.12210000000,3.20000,96.00000,20.00000
-0.12207998750,2.40000,100.00000,18.00000
-0.12205998750,3.20000,100.00000,18.00000
-0.12204000000,40.80000,104.00000,18.00000
-0.12201998750,40.00000,108.00000,20.00000
